source,target,weight_pixel_length,segments
1,5,6,1
2,7,9,1
3,15,16,1
4,6,3,1
5,6,8,1
5,7,5,1
6,12,13,1
7,11,4,1
8,12,8,1
9,15,7,1
10,13,3,1
11,15,23,1
11,17,9,1
12,13,7,1
12,30,18,1
13,16,9,1
14,22,14,1
15,31,14,1
15,32,17,1
16,26,14,1
16,38,15,1
17,18,7,1
17,23,5,1
19,21,3,1
20,27,5,1
21,24,4,1
21,26,6,1
22,30,5,1
22,25,4,1
23,27,11,1
23,41,10,1
26,35,8,1
26,34,4,1
26,40,4,1
27,31,8,1
28,33,3,1
29,33,3,1
30,36,3,1
31,58,18,1
32,37,4,1
32,49,12,1
33,48,11,1
36,41,16,1
36,38,10,1
36,44,4,1
38,46,9,1
39,53,11,1
40,46,12,1
40,48,10,1
40,50,7,1
41,73,25,1
42,73,23,1
43,45,5,1
44,52,7,1
44,51,6,1
45,47,4,1
45,48,5,1
46,66,15,1
48,63,13,1
48,59,4,1
49,58,14,1
49,53,8,1
52,55,6,1
52,57,3,1
53,62,7,1
54,57,3,1
56,61,6,1
57,64,5,1
58,73,12,1
59,72,14,1
59,70,10,1
60,77,17,1
61,74,16,1
61,72,7,1
62,65,7,1
62,78,11,1
63,67,4,1
63,66,13,1
64,66,11,1
64,82,13,1
66,69,8,1
66,91,15,1
68,70,4,1
70,81,7,1
71,74,8,1
72,92,13,1
73,77,5,1
73,79,4,1
74,76,6,1
74,83,16,1
74,86,4,1
75,83,5,1
77,88,14,1
78,80,6,1
78,85,18,1
78,94,8,1
79,121,19,1
79,85,4,1
80,84,17,1
80,98,11,1
81,93,15,1
81,97,9,1
82,90,10,1
82,88,7,1
83,102,11,1
85,114,14,1
86,112,13,1
86,96,6,1
87,90,3,1
88,120,16,1
89,99,8,1
90,100,6,1
91,97,10,1
91,100,12,1
92,96,10,1
92,93,7,1
92,129,15,1
93,109,7,1
95,99,4,1
96,132,17,1
97,105,7,1
97,110,3,1
98,99,5,1
98,141,16,1
99,106,5,1
99,122,7,1
100,103,3,1
100,111,4,1
100,119,3,1
101,116,6,1
102,108,4,1
102,112,19,1
104,126,13,1
104,113,3,1
107,120,6,1
108,116,10,1
108,143,14,1
110,126,5,1
112,148,14,1
114,117,5,1
114,160,17,1
115,159,19,1
116,124,8,1
116,128,6,1
118,124,4,1
119,138,12,1
119,125,6,1
120,127,4,1
121,130,6,1
121,123,3,1
122,131,5,1
124,152,12,1
125,139,7,1
126,133,3,1
126,138,12,1
127,130,18,1
127,139,5,1
129,137,5,1
129,161,12,1
130,154,9,1
131,169,20,1
131,147,6,1
132,136,7,1
132,137,6,1
133,146,5,1
133,142,4,1
134,140,3,1
134,154,5,1
135,144,4,1
136,148,3,1
137,145,3,1
138,167,11,1
139,163,9,1
141,149,4,1
141,155,9,1
143,187,13,1
143,144,8,1
144,176,10,1
146,162,8,1
146,153,6,1
147,155,4,1
147,156,6,1
148,176,9,1
149,160,15,1
150,170,7,1
151,158,3,1
152,159,14,1
152,173,6,1
153,198,12,1
154,168,4,1
155,221,20,1
157,167,4,1
158,164,3,1
158,183,7,1
159,175,3,1
159,203,10,1
160,177,4,1
161,162,3,1
161,188,7,1
162,171,4,1
163,167,15,1
163,189,8,1
165,172,4,1
166,187,11,1
167,207,9,1
168,183,5,1
168,184,8,1
169,195,9,1
169,179,8,1
170,175,11,1
170,172,11,1
172,186,6,1
173,182,3,1
173,174,3,1
173,211,10,1
175,223,13,1
176,201,6,1
177,184,7,1
177,220,12,1
178,215,14,1
179,180,5,1
179,235,15,1
181,186,7,1
183,193,3,1
183,190,4,1
184,194,4,1
185,192,3,1
186,200,3,1
187,218,9,1
188,202,18,1
188,198,22,1
188,263,24,1
188,233,8,1
189,193,15,1
189,234,11,1
189,214,7,1
191,215,9,1
192,206,10,1
192,202,3,1
193,253,16,1
194,208,4,1
195,221,10,1
196,213,7,1
197,203,3,1
198,207,6,1
199,216,7,1
200,232,9,1
200,217,15,1
201,226,9,1
201,206,4,1
202,204,4,1
203,237,10,1
205,209,3,1
206,274,19,1
207,224,10,1
207,257,12,1
209,231,6,1
209,213,4,1
210,232,6,1
211,237,6,1
211,218,13,1
212,219,3,1
213,248,9,1
215,221,3,1
215,242,4,1
216,235,9,1
216,246,16,1
218,226,15,1
218,255,7,1
219,224,3,1
219,234,6,1
220,228,12,1
220,241,6,1
221,238,13,1
222,231,5,1
223,289,18,1
223,249,6,1
224,240,4,1
225,243,5,1
226,285,14,1
227,233,3,1
228,256,6,1
229,238,3,1
230,238,3,1
231,239,4,1
231,254,6,1
232,244,4,1
233,269,10,1
234,252,6,1
234,251,5,1
234,277,7,1
235,238,8,1
235,292,12,1
236,247,4,1
237,260,7,1
241,242,11,1
241,245,13,1
241,306,14,1
242,338,21,1
243,246,13,1
243,265,10,1
244,248,9,1
244,250,3,1
246,287,9,1
247,284,11,1
247,254,7,1
248,259,3,1
249,273,14,1
249,268,4,1
250,289,16,1
250,267,5,1
253,264,4,1
253,256,6,1
254,272,4,1
255,261,3,1
255,311,9,1
255,323,12,1
256,262,6,1
256,282,5,1
257,263,5,1
257,281,4,1
258,271,6,1
259,272,16,1
259,342,16,1
260,273,6,1
