node_id,row,col,degree,type,bfs_depth_from_root
1,40.0,462.0,1,endpoint,51
2,42.0,479.0,1,endpoint,52
3,43.0,493.0,1,endpoint,52
4,44.0,457.0,1,endpoint,50
5,45.666666666666664,465.6666666666667,3,junction,50
6,46.0,458.0,3,junction,49
7,49.333333333333336,470.6666666666667,3,junction,51
8,50.0,439.0,1,endpoint,49
9,52.0,501.0,1,endpoint,52
10,53.0,438.0,1,endpoint,48
11,54.0,472.25,3,junction,51
12,55.6,445.8,4,junction,48
13,56.0,438.25,3,junction,47
14,56.0,459.0,1,endpoint,50
15,59.666666666666664,496.0,5,junction,51
16,63.0,430.0,3,junction,46
17,64.0,472.8,3,junction,50
18,64.0,480.0,1,endpoint,51
19,67.0,417.0,1,endpoint,47
20,68.0,483.0,1,endpoint,51
21,70.0,414.75,3,junction,46
22,69.66666666666667,455.3333333333333,3,junction,49
23,70.0,471.5,3,junction,49
24,70.0,411.0,1,endpoint,47
25,70.0,459.0,1,endpoint,50
26,74.5,420.625,5,junction,45
27,72.66666666666667,482.6666666666667,3,junction,50
28,74.0,407.0,1,endpoint,45
29,74.0,411.0,1,endpoint,45
30,74.0,451.0,3,junction,48
31,74.33333333333333,490.6666666666667,3,junction,50
32,75.0,507.8,3,junction,51
33,76.33333333333333,408.3333333333333,3,junction,44
34,76.0,424.0,1,endpoint,46
35,76.0,428.0,1,endpoint,46
36,77.0,450.0,4,junction,47
37,76.0,512.0,1,endpoint,52
38,77.0,440.0,3,junction,46
39,79.0,515.0,1,endpoint,50
40,81.5,420.5,4,junction,44
41,80.66666666666667,466.6666666666667,3,junction,48
42,80.83333333333333,481.0,1,junction,49
43,81.0,398.0,1,endpoint,45
44,82.0,450.25,3,junction,48
45,85.75,401.0,3,junction,44
46,85.0,433.0,3,junction,45
47,86.0,397.0,1,endpoint,45
48,88.55555555555556,407.8888888888889,5,junction,43
49,87.0,506.0,3,junction,50
50,88.0,425.0,1,endpoint,45
51,88.0,450.0,1,endpoint,49
52,89.0,453.25,3,junction,48
53,89.33333333333333,513.6666666666666,3,junction,49
54,90.0,450.0,1,endpoint,48
55,90.0,459.0,1,endpoint,49
56,91.0,392.0,1,endpoint,41
57,92.33333333333333,451.3333333333333,3,junction,47
58,93.0,492.25,3,junction,49
59,93.75,406.0,3,junction,42
60,93.0,460.0,1,endpoint,48
61,97.0,387.75,3,junction,40
62,97.0,514.25,3,junction,48
63,97.66666666666667,421.3333333333333,3,junction,44
64,97.33333333333333,448.6666666666667,3,junction,46
65,97.0,521.0,1,endpoint,49
66,100.5,436.0,5,junction,45
67,101.0,419.0,1,endpoint,45
68,102.0,417.0,1,endpoint,44
69,102.0,444.0,1,endpoint,46
70,103.33333333333333,413.3333333333333,3,junction,43
71,104.0,364.0,1,endpoint,40
72,104.33333333333333,391.3333333333333,3,junction,41
73,105.0,481.2,5,junction,48
74,107.33333333333333,371.77777777777777,5,junction,39
75,107.0,354.0,1,endpoint,39
76,107.0,378.0,1,endpoint,40
77,107.0,476.0,3,junction,47
78,109.0,507.0,4,junction,47
79,109.66666666666667,483.6666666666667,3,junction,47
80,109.25,514.0,3,junction,46
81,111.0,413.75,3,junction,43
82,110.66666666666667,456.3333333333333,3,junction,46
83,111.33333333333333,355.3333333333333,3,junction,38
84,111.0,530.0,1,endpoint,47
85,112.25,488.0,3,junction,46
86,113.66666666666667,372.6666666666667,3,junction,39
87,113.0,445.0,1,endpoint,46
88,113.0,463.0,3,junction,46
89,113.0,531.0,1,endpoint,47
90,115.66666666666667,446.3333333333333,3,junction,45
91,116.75,429.0,3,junction,45
92,118.57142857142857,390.42857142857144,4,junction,41
93,118.0,398.75,3,junction,42
94,117.0,507.0,1,endpoint,48
95,117.0,526.0,1,endpoint,47
96,118.25,379.0,3,junction,40
97,121.14285714285714,419.0,4,junction,44
98,121.0,519.8,3,junction,45
99,120.9090909090909,528.5454545454545,5,junction,46
100,123.55555555555556,441.44444444444446,5,junction,44
101,122.0,329.0,1,endpoint,38
102,122.0,348.0,3,junction,37
103,122.0,445.0,1,endpoint,45
104,123.5,403.5,2,junction,44
105,123.0,412.0,1,endpoint,45
106,123.0,536.0,1,endpoint,47
107,124.0,452.0,1,endpoint,46
108,125.66666666666667,344.6666666666667,3,junction,36
109,125.0,399.0,1,endpoint,43
110,126.16666666666667,420.1666666666667,2,junction,44
111,125.0,445.0,1,endpoint,45
112,126.33333333333333,366.6666666666667,3,junction,38
113,126.0,403.0,1,endpoint,45
114,127.0,494.25,3,junction,45
115,127.0,314.0,1,endpoint,36
116,128.0,333.5,4,junction,37
117,127.0,499.0,1,endpoint,46
118,128.0,321.0,1,endpoint,38
